produto,preco,qtd
Teclado Mecânico,145.90,3
Notebook Gamer,5200.00,1
Mouse Óptico,89.90,8
Monitor 4K,1990.50,2
Fone de Ouvido,299.00,7
Smartphone,2150.80,5
Webcam HD,170.00,10
SSD Externo,450.00,3
Roteador Wi-Fi,399.90,6
Carregador USB-C,120.00,8
Cadeira Gamer,1200.00,2
Microfone Condensador,550.00,3
Placa de Vídeo,3800.00,1
Mousepad XL,110.00,7
Hub USB 3.0,95.50,9
Teclado Mecânico,155.00,2
Notebook Gamer,5150.00,3
Mouse Óptico,92.50,4
Monitor 4K,2050.00,1
Fone de Ouvido,310.00,8
Smartphone,3200.00,2
Webcam HD,175.00,6
SSD Externo,460.00,4
Roteador Wi-Fi,410.00,3
Carregador USB-C,125.00,7
Cadeira Gamer,1250.00,1
Microfone Condensador,560.00,5
Placa de Vídeo,3900.00,2
Mousepad XL,115.00,8
Hub USB 3.0,100.00,9
Teclado Mecânico,142.00,6
Notebook Gamer,5250.00,1
Mouse Óptico,88.00,9
Monitor 4K,1980.00,3
Fone de Ouvido,295.00,4
Smartphone,2130.00,5
Webcam HD,168.00,8
SSD Externo,445.00,2
Roteador Wi-Fi,395.00,7
Carregador USB-C,118.00,10
Cadeira Gamer,1190.00,3
Microfone Condensador,545.00,2
Placa de Vídeo,3750.00,1
Mousepad XL,108.00,6
Hub USB 3.0,92.00,8
Teclado Mecânico,148.00,4
Notebook Gamer,5300.00,2
Mouse Óptico,91.00,7
Monitor 4K,2010.00,1
Fone de Ouvido,305.00,6
Smartphone,2180.00,3
Webcam HD,172.00,9
SSD Externo,455.00,5
Roteador Wi-Fi,405.00,4
Carregador USB-C,122.00,8
Cadeira Gamer,1220.00,2
Microfone Condensador,555.00,3
Placa de Vídeo,3850.00,1
Mousepad XL,112.00,9
Hub USB 3.0,98.00,7
Teclado Mecânico,150.00,5
Notebook Gamer,5100.00,3
Mouse Óptico,90.00,6
Monitor 4K,2000.00,2
Fone de Ouvido,300.00,7
Smartphone,2100.00,4
Webcam HD,180.00,5
SSD Externo,470.00,2
Roteador Wi-Fi,420.00,3
Carregador USB-C,130.00,6
Cadeira Gamer,1300.00,1
Microfone Condensador,570.00,4
Placa de Vídeo,4000.00,1
Mousepad XL,120.00,10
Hub USB 3.0,105.00,5
Teclado Mecânico,140.00,7
Notebook Gamer,5000.00,2
Mouse Óptico,85.00,10
Monitor 4K,1950.00,3
Fone de Ouvido,280.00,9
Smartphone,2000.00,6
Webcam HD,160.00,7
SSD Externo,430.00,5
Roteador Wi-Fi,380.00,8
Carregador USB-C,110.00,4
Cadeira Gamer,1100.00,3
Microfone Condensador,520.00,6
Placa de Vídeo,3600.00,2
Mousepad XL,100.00,9
Hub USB 3.0,85.00,7
Teclado Mecânico,160.00,3
Notebook Gamer,5400.00,1
Mouse Óptico,95.00,8
Monitor 4K,2100.00,2
Fone de Ouvido,320.00,5
Smartphone,2300.00,4
Webcam HD,190.00,10
SSD Externo,480.00,3
Roteador Wi-Fi,430.00,6
Carregador USB-C,135.00,9
Cadeira Gamer,1350.00,2
Microfone Condensador,580.00,4
Placa de Vídeo,4100.00,1
Mousepad XL,125.00,7
Hub USB 3.0,110.00,10
Teclado Mecânico,152.00,2
Notebook Gamer,5350.00,3
Mouse Óptico,93.00,5
Monitor 4K,2080.00,1
Fone de Ouvido,315.00,8
Smartphone,2250.00,2
Webcam HD,185.00,6
SSD Externo,475.00,4
Roteador Wi-Fi,425.00,3
Carregador USB-C,132.00,7
Cadeira Gamer,1320.00,1
Microfone Condensador,575.00,5
Placa de Vídeo,4050.00,2
Mousepad XL,123.00,8
Hub USB 3.0,108.00,9
Teclado Mecânico,146.00,6
Notebook Gamer,5220.00,1
Mouse Óptico,89.00,9
Monitor 4K,1970.00,3
Fone de Ouvido,290.00,4
Smartphone,2080.00,5
Webcam HD,165.00,8
SSD Externo,440.00,2
Roteador Wi-Fi,390.00,7
Carregador USB-C,115.00,10
Cadeira Gamer,1150.00,3
Microfone Condensador,530.00,2
Placa de Vídeo,3700.00,1
Mousepad XL,105.00,6
Hub USB 3.0,90.00,8
